Rank,Overall Acc,Model,Model Link,Total Cost ($),Latency Mean (s),Latency Standard Deviation (s),Latency 95th Percentile (s),Non-Live AST Acc,Non-Live Simple AST,Non-Live Multiple AST,Non-Live Parallel AST,Non-Live Parallel Multiple AST,Live Acc,Live Simple AST,Live Multiple AST,Live Parallel AST,Live Parallel Multiple AST,Multi Turn Acc,Multi Turn Base,Multi Turn Miss Func,Multi Turn Miss Param,Multi Turn Long Context,Web Search Acc,Web Search Base,Web Search No Snippet,Memory Acc,Memory KV,Memory Vector,Memory Recursive Summarization,Relevance Detection,Irrelevance Detection,Format Sensitivity Max Delta,Format Sensitivity Standard Deviation,Organization,License
11,29.81%,xLAM-2-1b-fc-r (FC),https://huggingface.co/Salesforce/xLAM-2-1b-fc-r,N/A,N/A,N/A,N/A,69.08%,64.83%,82.50%,73.50%,55.50%,54.77%,68.99%,52.14%,43.75%,25.00%,34.88%,43.00%,34.00%,36.50%,26.00%,0.00%,0.00%,0.00%,2.80%,1.94%,5.16%,1.29%,87.50%,64.00%,N/A,N/A,Salesforce,cc-by-nc-4.0
12,28.80%,Llama-3.3-70B-Instruct (FC),https://llama.meta.com/llama3,N/A,N/A,N/A,N/A,88.02%,76.08%,95.00%,89.50%,91.50%,76.83%,81.40%,75.59%,87.50%,75.00%,17.88%,26.00%,17.50%,14.00%,14.00%,0.00%,0.00%,0.00%,7.96%,5.81%,7.10%,10.97%,100.00%,53.64%,N/A,N/A,Meta,Meta Llama 3 Community
13,25.07%,A.X-4.0 (Prompt),https://huggingface.co/skt/A.X-4.0,1.75,2.74,2.83,7.1,86.50%,74.50%,91.50%,90.00%,90.00%,73.65%,83.33%,71.23%,87.50%,66.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.74%,2.58%,3.87%,16.77%,87.50%,75.09%,18.0,4.9,SKT,Apache 2.0
14,22.43%,Phi-4-mini-instruct (Prompt),https://huggingface.co/microsoft/Phi-4-mini-instruct,N/A,N/A,N/A,N/A,80.27%,73.58%,85.50%,78.00%,84.00%,61.21%,65.50%,60.40%,56.25%,54.17%,2.75%,4.50%,2.50%,1.50%,2.50%,0.00%,0.00%,0.00%,10.97%,11.61%,8.39%,12.90%,75.00%,52.61%,70.0,30.88,Microsoft,MIT
15,21.34%,Llama-3.2-3B-Instruct (FC),https://llama.meta.com/llama3,N/A,N/A,N/A,N/A,82.21%,70.33%,92.50%,88.00%,78.00%,58.40%,64.73%,57.93%,18.75%,37.50%,3.50%,4.50%,3.50%,3.00%,3.00%,0.00%,0.00%,0.00%,5.16%,2.58%,3.87%,9.03%,87.50%,51.97%,N/A,N/A,Meta,Meta Llama 3 Community
16,21.29%,EXAONE-4.0-32B (Prompt),https://huggingface.co/LGAI-EXAONE/EXAONE-4.0-32B,N/A,N/A,N/A,N/A,87.42%,76.67%,95.50%,89.50%,88.00%,77.42%,81.40%,77.02%,75.00%,54.17%,0.25%,0.50%,0.00%,0.00%,0.50%,2.50%,2.00%,3.00%,2.80%,3.23%,1.94%,3.23%,87.50%,36.71%,32.5,9.35,LG AI,EXAONE AI Model License
17,21.08%,Hermes-3-Llama-3.1-8B (Prompt),https://huggingface.co/NousResearch/Hermes-3-Llama-3.1-8B,N/A,N/A,N/A,N/A,81.92%,75.67%,92.00%,82.50%,77.50%,63.88%,67.44%,62.96%,81.25%,54.17%,7.00%,10.50%,6.00%,6.00%,5.50%,1.00%,1.00%,1.00%,8.17%,3.23%,10.32%,10.97%,87.50%,25.67%,68.0,22.78,NousResearch,Llama 3.1 License
18,16.37%,A.X-4.0-Light (Prompt),https://huggingface.co/skt/A.X-4.0-Light,N/A,N/A,N/A,N/A,40.23%,39.42%,55.00%,34.00%,32.50%,19.25%,30.23%,16.62%,25.00%,12.50%,0.12%,0.00%,0.00%,0.50%,0.00%,0.00%,0.00%,0.00%,7.31%,5.81%,5.81%,10.32%,25.00%,89.19%,71.5,23.85,SKT,Apache 2.0
19,13.63%,Mistral-Small-3.2-24B (Prompt),https://huggingface.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506,N/A,N/A,N/A,N/A,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,13.00%,14.00%,12.00%,5.16%,5.81%,5.16%,4.52%,0.00%,100.00%,0.0,0.0,Mistral AI,Apache 2.0
20,11.85%,Ministral-3-3B-Instruct-2512 (Prompt),https://huggingface.co/mistralai/Ministral-3-3B-Instruct-2512,N/A,N/A,N/A,N/A,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.50%,5.00%,4.00%,4.73%,5.81%,3.87%,4.52%,0.00%,100.00%,0.0,0.0,Mistral AI,Mistral AI Research License
21,10.03%,EXAONE-4.0-1.2B (Prompt),https://huggingface.co/LGAI-EXAONE/EXAONE-4.0-1.2B,N/A,N/A,N/A,N/A,1.50%,0.50%,5.50%,0.00%,0.00%,3.70%,1.94%,4.27%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,1.00%,1.00%,2.80%,1.29%,3.87%,3.23%,18.75%,87.56%,42.5,12.06,LG AI,EXAONE AI Model License
