config_id,label,model,group,n,n_e2e,e2e_absent_reason,oracle_h_mean,e2e_h_mean,drop_h_mean,oracle_a_mean,e2e_a_mean,drop_a_mean,oracle_context_accuracy,e2e_context_accuracy,drop_context_accuracy,oracle_c,e2e_c,drop_c,n_oracle_h_mean,n_e2e_h_mean,n_oracle_a_mean,n_e2e_a_mean,n_oracle_context_accuracy,n_e2e_context_accuracy,n_oracle_c,n_e2e_c
qwen35-4b-nt,Qwen3.5-4B (NT),Qwen/Qwen3.5-4B,General-Purpose,50,50,,0.8493,0.7717,0.0776,0.7839,0.6682,0.1157,0.9783,0.9,0.0783,0.48,0.38,0.1,219,219,196,186,46,30,50,50
xlam-70b,xLAM-2-70B,Salesforce/Llama-xLAM-2-70b-fc-r,General-Purpose,50,50,,0.8493,0.79,0.0593,0.6259,0.5208,0.1051,0.9348,0.9259,0.0089,0.46,0.48,-0.02,219,219,196,186,46,27,50,50
gemma-4-e4b,Gemma-4-E4B,google/gemma-4-E4B-it,General-Purpose,50,50,,0.8402,0.7808,0.0594,0.7527,0.6459,0.1068,0.8696,0.75,0.1196,0.4,0.42,-0.02,219,219,196,191,46,36,50,50
kanana-2-inst,Kanana-2-Instruct,kakaocorp/kanana-2-30b-a3b-instruct,Korean-Specialized,50,0,not run: the end-to-end setting serves 65536 tokens and this model's context window is 32768,0.8402,,,0.702,,,0.9348,,,0.48,,,219,0,196,0,46,0,50,0
qwen36-27b,Qwen3.6-27B,Qwen/Qwen3.6-27B,General-Purpose,50,50,,0.8402,0.8402,0.0,0.8467,0.8014,0.0453,0.9783,0.9744,0.0039,0.4,0.46,-0.06,219,219,196,194,46,39,50,50
qwen35-4b-t,Qwen3.5-4B (T),Qwen/Qwen3.5-4B,General-Purpose,50,50,,0.8265,0.7443,0.0822,0.8014,0.6812,0.1202,0.9565,0.9714,-0.0149,0.38,0.28,0.1,219,219,196,192,46,35,50,50
qwen35-27b-t,Qwen3.5-27B (T),Qwen/Qwen3.5-27B,General-Purpose,50,50,,0.8219,0.8082,0.0137,0.834,0.782,0.052,0.9565,0.9487,0.0078,0.36,0.36,0.0,219,219,196,194,46,39,50,50
gpt-oss-120b-t,gpt-oss-120B (T),openai/gpt-oss-120b,General-Purpose,50,50,,0.8128,0.7763,0.0365,0.7487,0.6857,0.063,0.913,0.8718,0.0412,0.38,0.3,0.08,219,219,196,194,46,39,50,50
qwen36-35b-a3b,Qwen3.6-35B-A3B,Qwen/Qwen3.6-35B-A3B,General-Purpose,50,50,,0.8128,0.8174,-0.0046,0.8077,0.7594,0.0483,0.9783,0.9231,0.0552,0.36,0.46,-0.1,219,219,196,194,46,39,50,50
gpt-oss-20b-t,gpt-oss-20B (T),openai/gpt-oss-20b,General-Purpose,50,50,,0.7397,0.7352,0.0045,0.7011,0.6514,0.0497,0.8913,0.8293,0.062,0.32,0.26,0.06,219,219,196,195,46,41,50,50
dragon-llama-fin,Llama-Open-Finance-8B,DragonLLM/Llama-Open-Finance-8B,Finance-Specialized,50,50,,0.7032,0.726,-0.0228,0.588,0.5391,0.0489,0.7609,0.7083,0.0526,0.22,0.22,0.0,219,219,196,185,46,24,50,50
exaone-1.2b,EXAONE-4.0-1.2B,LGAI-EXAONE/EXAONE-4.0-1.2B,Korean-Specialized,50,50,,0.6895,0.5388,0.1507,0.4588,0.3181,0.1407,0.7826,0.2778,0.5048,0.08,0.04,0.04,219,219,196,185,46,18,50,50
ministral-3b,Ministral-3-3B,mistralai/Ministral-3-3B-Instruct-2512,General-Purpose,50,50,,0.6849,0.6256,0.0593,0.5923,0.4797,0.1126,0.8043,0.6923,0.112,0.18,0.14,0.04,219,219,196,184,46,26,50,50
llama-3.2-3b,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,General-Purpose,50,50,,0.5936,0.6941,-0.1005,0.4396,0.3731,0.0665,0.6087,0.4444,0.1643,0.08,0.16,-0.08,219,219,196,180,46,18,50,50
xlam-3b,xLAM-2-3B,Salesforce/xLAM-2-3b-fc-r,General-Purpose,50,50,,0.5708,0.5708,0.0,0.4566,0.3994,0.0572,0.6957,0.5882,0.1075,0.14,0.12,0.02,219,219,196,183,46,17,50,50
hermes-3-8b,Hermes-3-8B,NousResearch/Hermes-3-Llama-3.1-8B,General-Purpose,50,50,,0.5068,0.3744,0.1324,0.4122,0.2698,0.1424,0.587,0.6667,-0.0797,0.04,0.06,-0.02,219,219,196,181,46,15,50,50
phi-4-mini,Phi-4-mini,microsoft/Phi-4-mini-instruct,General-Purpose,50,50,,0.3607,0.0731,0.2876,0.3231,0.0409,0.2822,0.7174,0.5,0.2174,0.0,0.0,0.0,219,219,196,176,46,2,50,50
ax-light,A.X-4.0-Light (7B),skt/A.X-4.0-Light,Korean-Specialized,50,50,,0.3516,0.3242,0.0274,0.2526,0.2164,0.0362,0.1522,0.3571,-0.2049,0.0,0.0,0.0,219,219,196,182,46,14,50,50
